,mean_inoculum_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
63,7.0,0.8971737823211064,11186,4,0.2557768054363118,41045,0.46,0.2565217391304348,0.11800000000000001
64,6.0,0.8865153538050734,11177,5,0.2910958913704362,41483,0.478,0.28870292887029286,0.13799999999999998
65,5.0,0.8720050441361917,10812,5,0.3289650624557825,39422,0.548,0.2591240875912409,0.14200000000000002
66,4.0,0.8421541318477251,10871,5,0.34848765945785415,38713,0.488,0.30327868852459017,0.148
67,3.0,0.7546174142480211,10740,5,0.41003036907573276,38617,0.484,0.23140495867768596,0.112
68,2.0,0.7701674277016742,10555,5,0.4780703544470875,38921,0.464,0.34913793103448276,0.162
69,1.0,0.715008431703204,10308,6,0.5756834905929578,38875,0.502,0.32669322709163345,0.164
70,10.0,0.9270687237026648,11752,4,0.2114200554945154,44259,0.524,0.20610687022900764,0.10800000000000001
71,9.0,0.9094468918257465,11243,4,0.22443094025460955,41800,0.458,0.19213973799126638,0.08800000000000001
72,8.0,0.9093553078041687,11358,4,0.23822016318791076,42071,0.484,0.22727272727272727,0.10999999999999999
73,7.0,0.8865062761506276,11098,4,0.26429392576193594,40649,0.504,0.1388888888888889,0.07
74,6.0,0.8692403486924035,11362,4,0.28938554759700924,41858,0.53,0.20754716981132076,0.11000000000000001
75,5.0,0.8716845878136201,11065,5,0.3303409320392235,40284,0.522,0.31417624521072796,0.164
76,4.0,0.8484848484848485,10749,5,0.3497962597710228,38586,0.53,0.3018867924528302,0.16
77,3.0,0.7852522639068564,10565,5,0.3922881564533349,36820,0.466,0.2875536480686695,0.134
78,2.0,0.8150134048257373,10914,6,0.48300077850557616,41567,0.484,0.4297520661157025,0.208
79,1.0,0.7679558011049724,10560,6,0.5502978560462581,40957,0.448,0.4375,0.196
80,10.0,0.9298185552892845,11165,4,0.20619658427339443,41955,0.544,0.24632352941176472,0.134
81,9.0,0.903300790330079,11474,4,0.2169158187107416,43302,0.506,0.17786561264822134,0.09
82,8.0,0.9046256556986171,11395,4,0.23409164816558686,42501,0.514,0.22178988326848248,0.114
83,7.0,0.8973832734735762,11250,4,0.26971136,41432,0.496,0.1935483870967742,0.096
84,6.0,0.8877790834312573,10900,4,0.28170903964312766,39559,0.502,0.23904382470119523,0.12000000000000001
85,5.0,0.8691525423728813,10927,5,0.3125156256112629,39700,0.522,0.26053639846743293,0.13599999999999998
86,4.0,0.8390705679862306,10837,5,0.3579716307403108,38716,0.518,0.277992277992278,0.14400000000000002
87,3.0,0.7851140456182473,10688,5,0.39767131390288285,38176,0.468,0.23504273504273504,0.11
88,2.0,0.7890724269377383,10622,5,0.4743902082769564,39719,0.534,0.3782771535580524,0.202
89,1.0,0.8021472392638037,10451,6,0.5472811636766375,39986,0.492,0.47560975609756095,0.23399999999999999
90,10.0,0.9292511377741002,11395,4,0.21412982030062144,43074,0.472,0.2754237288135593,0.12999999999999998
91,9.0,0.9205792014041246,11026,4,0.23053755927853395,40768,0.45,0.19555555555555557,0.08800000000000001
92,8.0,0.9077641564506713,11242,4,0.24219120131159863,41485,0.452,0.3008849557522124,0.136
93,7.0,0.8827014218009479,11264,5,0.2677598984773494,41355,0.464,0.14655172413793102,0.06799999999999999
94,6.0,0.8579192546583851,10897,4,0.2875345860964517,39303,0.444,0.17567567567567569,0.078
95,5.0,0.8749218261413383,11276,5,0.3252035011497137,41082,0.53,0.24528301886792453,0.13
96,4.0,0.8739130434782608,11036,5,0.3527745238128706,40102,0.474,0.3881856540084388,0.18399999999999997
97,3.0,0.7876344086021505,10664,5,0.4183732073303397,38328,0.454,0.3039647577092511,0.13799999999999998
98,2.0,0.8407738095238095,10780,5,0.5022298215963734,41320,0.478,0.5523012552301255,0.264
99,1.0,0.7030651340996169,10261,6,0.5303205287517668,38036,0.5,0.38,0.19
100,10.0,0.9227878373761531,11427,4,0.21521625102509964,42424,0.568,0.20422535211267606,0.11599999999999999
101,9.0,0.9158576051779935,11717,4,0.22099308265555362,44179,0.52,0.2,0.10400000000000001
102,8.0,0.9012219959266803,11231,4,0.24603341801986833,41478,0.502,0.22709163346613545,0.11399999999999999
103,7.0,0.9081858407079646,11143,4,0.2692105658912739,40692,0.486,0.3168724279835391,0.154
104,6.0,0.863448275862069,11171,4,0.2947288423872634,41129,0.482,0.17842323651452283,0.086
105,5.0,0.8866758241758241,11168,4,0.32019172153759,40446,0.528,0.375,0.198
106,4.0,0.8547008547008547,10891,5,0.35282106653267664,38936,0.556,0.3273381294964029,0.18200000000000002
107,3.0,0.7969849246231155,10671,5,0.42593520110315747,39228,0.53,0.23773584905660378,0.126
108,2.0,0.744927536231884,10554,5,0.4899853857162183,39553,0.502,0.29880478087649404,0.15
109,1.0,0.7294776119402985,10804,5,0.5674766883958812,42844,0.466,0.3776824034334764,0.17600000000000002
110,10.0,0.9268194611982308,11530,4,0.21008102848709465,43553,0.514,0.2918287937743191,0.15000000000000002
111,9.0,0.9106481481481481,11046,4,0.2243131278351433,40858,0.486,0.205761316872428,0.1
112,8.0,0.9083379348426284,11228,4,0.24564866524715745,41632,0.436,0.23853211009174313,0.10400000000000001
113,7.0,0.9041095890410958,11270,4,0.26798513379349664,41479,0.564,0.2553191489361702,0.14399999999999996
114,6.0,0.8862050456253355,11116,5,0.2940134579360108,39943,0.56,0.24285714285714285,0.136
115,5.0,0.8700067704807042,10658,4,0.33457481574298914,38273,0.5,0.232,0.116
116,4.0,0.8225024248302619,11199,5,0.35032472037158496,41153,0.486,0.24691358024691357,0.12
117,3.0,0.7992998833138857,10771,5,0.40461661147856587,39466,0.5,0.312,0.156
118,2.0,0.7767379679144385,10740,5,0.4545680707704364,38170,0.5,0.332,0.166
119,1.0,0.8080133555926544,10774,6,0.5694517158286133,42321,0.502,0.5418326693227091,0.27199999999999996
120,10.0,0.9274163219255359,11433,4,0.20970746179072614,42686,0.484,0.2024793388429752,0.09799999999999999
121,9.0,0.9017941454202077,11305,4,0.21629334673416376,41924,0.51,0.1843137254901961,0.09400000000000001
122,8.0,0.9203718674211803,11412,5,0.24761203977979782,42339,0.526,0.2509505703422053,0.132
123,7.0,0.9048433048433049,10953,4,0.26269005983076726,40664,0.466,0.2832618025751073,0.132
124,6.0,0.8589473684210527,11143,5,0.2973570742930725,41552,0.514,0.2178988326848249,0.112
125,5.0,0.8871349644830308,11054,5,0.3178693987366458,39783,0.464,0.38362068965517243,0.17800000000000002
126,4.0,0.8372530573847601,10803,5,0.36967815096634105,39634,0.504,0.3134920634920635,0.158
127,3.0,0.7798982188295165,10562,5,0.3969652006756365,37096,0.458,0.2445414847161572,0.112
128,2.0,0.8590250329380764,10776,5,0.4489540309682107,39265,0.498,0.570281124497992,0.284
