,migration_rate,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
1233,0.001,,658,6,1.135281455271108,4040,0.0,,
1234,0.001,,1094,9,3.4098381064740697,12543,0.0,,
1235,0.001,1.0,1076,11,7.511950498196542,30306,0.11,1.0,0.11
1236,0.001,,947,7,1.890386916277602,11351,0.0,,
1237,0.001,,829,12,9.065489398915373,26260,0.0,,
1238,0.001,1.0,1114,8,2.506220003932325,11017,0.12,1.0,0.12
1239,0.001,,1011,7,1.5974214403187101,10014,0.0,,
1240,0.001,,702,6,1.4432756227628025,4724,0.0,,
1241,0.001,1.0,1143,16,12.450754679287137,47064,0.13,1.0,0.13
1242,0.001,1.0,1594,9,2.4757414488774563,19287,0.34,1.0,0.34
1243,0.001,1.0,1111,8,1.4676830419315559,10647,0.17,1.0,0.17
1244,0.001,1.0,1411,7,1.1965185961673015,8725,0.18,1.0,0.18
1245,0.001,1.0,1574,8,2.4291157613635814,29248,0.24,1.0,0.24
1246,0.001,1.0,1175,10,3.644252421910367,23098,0.1,1.0,0.1
1247,0.001,,694,8,2.557840360770374,6392,0.0,,
1248,0.001,1.0,1335,11,5.730587327638205,49136,0.26,1.0,0.26
1249,0.001,1.0,1213,13,5.87063748114851,25706,0.22,1.0,0.22
1250,0.001,1.0,1203,13,9.895482960650464,50636,0.22,1.0,0.22
1251,0.001,1.0,1045,9,2.9671793228177017,10306,0.05,1.0,0.05
1252,0.001,1.0,869,10,6.5812694246657335,23222,0.27,1.0,0.27
1253,0.001,1.0,1066,12,7.9835482894445065,33633,0.23,1.0,0.23
1254,0.001,1.0,1040,11,3.87066475591716,14163,0.2,1.0,0.2
1255,0.001,1.0,1130,14,6.224159292035399,27927,0.23,1.0,0.23
1256,0.001,,677,8,2.5521230382541797,7749,0.0,,
1257,0.001,1.0,1131,14,12.67845877102257,52261,0.39,1.0,0.39
1258,0.001,,169,5,0.9202058751444276,603,0.0,,
1259,0.001,1.0,924,13,8.102617079889807,23296,0.13,1.0,0.13
1260,0.001,1.0,1285,9,2.6519668730790777,19455,0.19,1.0,0.19
1261,0.001,,653,15,12.370156352234591,31239,0.0,,
1262,0.001,1.0,1103,12,9.504641178883272,56212,0.39,1.0,0.39
1263,0.001,,1047,8,1.9939427609151172,9517,0.0,,
1264,0.001,1.0,1258,7,1.930965825078796,17271,0.17,1.0,0.17
1265,0.001,1.0,848,8,3.759988819419722,9629,0.41,1.0,0.41
1266,0.001,1.0,1062,10,5.6884613474913195,27999,0.06,1.0,0.06
1267,0.001,1.0,1338,13,6.867513031743159,44176,0.2,1.0,0.2
1268,0.001,1.0,1281,14,15.843730594450445,79600,0.33,1.0,0.33
1269,0.001,,730,6,0.9234922124225932,3249,0.0,,
1270,0.001,,397,6,0.8386323116065706,1941,0.0,,
1271,0.001,1.0,1074,9,2.844487444905659,14318,0.3,1.0,0.3
1272,0.001,,1228,11,4.678861314178399,19784,0.0,,
1273,0.001,1.0,1226,10,5.173213463590664,32279,0.04,1.0,0.04
1274,0.001,1.0,756,11,6.91060405643739,16495,0.01,0.0,0.0
1275,0.001,,867,6,1.0247748736512043,5083,0.0,,
1276,0.001,,277,4,0.38444395209112586,687,0.0,,
1277,0.001,1.0,1425,12,4.812097753154817,45775,0.12,1.0,0.12
1278,0.001,,841,6,1.3039400181823066,5228,0.0,,
1279,0.001,1.0,1069,9,3.1221366497456597,15488,0.21,1.0,0.21
1280,0.001,1.0,962,12,8.406702080298754,34158,0.24,1.0,0.24
1281,0.001,,355,5,0.862717714739139,1351,0.0,,
