,contact_rate_host_host,fitnessHost,mutant_frac,mut_frac_inf_hosts,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,pwd_genomes,mut_frac_hosts
77,0.184,0.105,0.44970414201183434,0.08823529411764706,7256,3,0.1450937763250183,10870,0.408,2.161735133582304,0.036
78,0.184,0.053,0.31978319783197834,0.007905138339920948,6848,3,0.07503307807996332,8506,0.506,2.0488683530425247,0.004
79,0.184,0.0,0.3523035230352303,0.0,6504,1,0.0001537278979800869,6503,0.478,1.9681836722801702,0.0
80,0.179,1.0,1.0,1.0,10408,26,32.259960410043476,1461258,0.396,18.308956916099774,0.396
81,0.179,0.947,1.0,1.0,10614,17,11.524750970636568,634766,0.46,17.945540134729324,0.46
82,0.179,0.895,1.0,1.0,10861,14,3.97507320217277,257675,0.4,8.260775623268698,0.4
83,0.179,0.842,1.0,1.0,10525,12,3.88059633154857,249868,0.47,8.423783287419651,0.47
84,0.179,0.789,1.0,1.0,10386,9,2.105999178855804,144881,0.52,7.206235851478447,0.52
85,0.179,0.737,0.9559543230016313,0.8860759493670886,10157,8,1.3323989693407479,81996,0.474,5.15627818289572,0.41999999999999993
86,0.179,0.684,0.7898989898989899,0.5185185185185185,10210,7,1.121477225089957,77182,0.432,4.510801248699272,0.22399999999999998
87,0.179,0.632,0.9530916844349681,0.8910891089108911,9862,7,0.9849689351254572,60751,0.404,4.890116377129364,0.36000000000000004
88,0.179,0.579,0.7266514806378133,0.42028985507246375,9868,7,0.7915754682522718,49860,0.414,3.6432906676281474,0.174
89,0.179,0.526,0.7532751091703057,0.481651376146789,9617,6,0.6936232304737387,40725,0.436,3.428883158103551,0.21
90,0.179,0.474,0.7510204081632653,0.4429223744292237,9418,6,0.577332690828788,35961,0.438,3.251397107166338,0.19399999999999998
91,0.179,0.421,0.6956521739130435,0.2907488986784141,9596,6,0.5223571253202103,34558,0.454,2.719108735744665,0.132
92,0.179,0.368,0.702576112412178,0.33157894736842103,8794,5,0.4282478248111876,25560,0.38,2.951008854695892,0.126
93,0.179,0.316,0.5955555555555555,0.20175438596491227,8376,5,0.37854705398331895,21522,0.456,2.5273051879857173,0.092
94,0.179,0.263,0.5650887573964497,0.1787709497206704,8309,4,0.3391671498805155,19761,0.358,2.615752551020408,0.064
95,0.179,0.211,0.4717514124293785,0.07425742574257425,7859,4,0.26814675068750937,15976,0.404,2.2797276753255336,0.03
96,0.179,0.158,0.44192634560906513,0.06190476190476191,7437,4,0.20776500100734116,12889,0.42,2.2475614366729677,0.026
97,0.179,0.105,0.43765281173594134,0.06504065040650407,7020,3,0.14159471108189053,10354,0.492,2.284566554255108,0.032
98,0.179,0.053,0.4182825484764543,0.05405405405405406,6646,3,0.08681522258574255,8523,0.444,2.056847545219638,0.024
99,0.179,0.0,0.3092105263157895,0.0,6350,1,0.00015745551491102975,6349,0.42,1.9560887279311905,0.0
100,0.174,1.0,1.0,1.0,10166,25,27.835405531989554,1346136,0.484,25.08408357397656,0.484
101,0.174,0.947,1.0,1.0,9856,21,17.57862183584856,907467,0.406,15.651953125,0.406
102,0.174,0.895,1.0,1.0,9674,14,5.940065111683683,312027,0.416,13.16415642753336,0.416
103,0.174,0.842,1.0,1.0,10314,13,4.65743549576458,291717,0.45,8.952508792182341,0.45
104,0.174,0.789,1.0,1.0,10233,10,2.4450345644804976,158124,0.458,8.067335640138408,0.458
105,0.174,0.737,1.0,1.0,10082,10,1.6672444160620463,109447,0.364,5.654218149844972,0.364
106,0.174,0.684,0.8659420289855072,0.6768558951965066,9360,8,1.2607786817882973,63972,0.458,4.154782887357795,0.31
107,0.174,0.632,0.875,0.7254901960784313,9925,8,1.0563650552950654,62220,0.408,4.405770635500366,0.296
108,0.174,0.579,0.8552123552123552,0.6724890829694323,9500,7,0.7643808421052631,47811,0.458,3.8264830119375572,0.308
109,0.174,0.526,0.8445945945945946,0.625,9292,6,0.6636894266454102,38990,0.368,3.7503923900118905,0.22999999999999998
110,0.174,0.474,0.7046413502109705,0.3805309734513274,9061,6,0.573498769897893,33252,0.452,3.1276975042221804,0.172
111,0.174,0.421,0.6632390745501285,0.31413612565445026,8810,5,0.5311585611748079,29670,0.382,2.7307492195629552,0.12
112,0.174,0.368,0.6621004566210046,0.308411214953271,8414,5,0.43495941459244053,24582,0.428,3.08284724354195,0.13199999999999998
113,0.174,0.316,0.6501240694789082,0.3121951219512195,8413,5,0.39054779420589864,22870,0.41,2.697482735575852,0.128
114,0.174,0.263,0.5114285714285715,0.13636363636363635,8021,5,0.33089411955504344,19019,0.396,2.431331747919144,0.054
