,pop_size_host:my_population,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
229,10,,15,3,0.5066666666666667,37,0.0,,
230,15,,43,3,0.388318009734992,118,0.0,,
231,20,,124,5,0.9512877211238295,719,0.0,,
232,25,,39,3,0.3247863247863248,82,0.0,,
233,30,1.0,671,6,0.8441923325507893,4909,0.36666666666666664,1.0,0.36666666666666664
234,35,1.0,787,6,1.4769773753610531,5530,0.7714285714285715,1.0,0.7714285714285715
235,40,1.0,903,7,1.8802392419019167,11440,0.45,1.0,0.45
236,45,1.0,995,5,0.6197722279740411,3677,0.5333333333333333,1.0,0.5333333333333333
237,50,1.0,1021,6,0.671115199805073,7099,0.42,1.0,0.42
238,60,1.0,1314,7,1.3173527565220815,12628,0.35,1.0,0.35
239,70,0.8192771084337349,1444,6,0.5061655450771556,4800,0.5,0.5714285714285714,0.2857142857142857
240,80,1.0,1691,8,0.9269479321597169,19829,0.525,1.0,0.525
241,90,0.7105263157894737,2069,5,0.6152550913260517,7904,0.5222222222222223,0.2978723404255319,0.15555555555555556
242,100,0.7894736842105263,2341,4,0.5359356573139225,8062,0.5,0.36,0.18
243,200,0.8312236286919831,4603,5,0.5722184131300515,17912,0.515,0.6116504854368932,0.315
244,300,0.7894736842105263,6766,6,0.5647510605137457,26287,0.5366666666666666,0.453416149068323,0.24333333333333332
245,400,0.6185286103542235,8442,6,0.6333088592977848,33611,0.4675,0.25133689839572193,0.11750000000000001
246,500,0.7302100161550888,10338,6,0.5755393039318248,39964,0.496,0.32661290322580644,0.162
247,5,,1,0,0.0,0,0.0,,
248,10,,13,3,0.6982248520710059,34,0.0,,
249,15,,91,4,0.7298635430503562,288,0.0,,
250,20,,42,3,0.5215419501133787,132,0.0,,
251,25,,99,3,0.32649729619426593,211,0.0,,
252,30,1.0,686,6,1.3459527917789356,5266,0.26666666666666666,1.0,0.26666666666666666
253,35,1.0,831,6,0.6966365027854166,3470,0.4857142857142857,1.0,0.4857142857142857
254,40,1.0,828,9,3.2935424397302158,15468,0.55,1.0,0.55
255,45,1.0,999,6,1.3265597930262596,7067,0.5111111111111111,1.0,0.5111111111111111
256,50,0.9791666666666666,1156,5,0.6588485231259205,4429,0.36,0.9444444444444444,0.33999999999999997
257,60,1.0,1419,5,0.653228782242008,7223,0.6833333333333333,1.0,0.6833333333333333
258,70,0.6346153846153846,1434,6,0.6774668393994036,5581,0.44285714285714284,0.3870967741935484,0.17142857142857143
259,80,0.4807692307692308,1835,6,0.7543125273778856,8079,0.4125,0.18181818181818182,0.075
260,90,0.6739130434782609,2031,5,0.6528837484766523,7936,0.45555555555555555,0.2682926829268293,0.12222222222222223
261,100,1.0,2210,6,0.6331706967506808,17967,0.5,1.0,0.5
262,200,0.84765625,4476,6,0.5999921335994334,18188,0.52,0.625,0.325
263,300,0.7857142857142857,6665,6,0.5591809955489622,25625,0.5366666666666666,0.45962732919254656,0.24666666666666665
264,400,1.0,8512,7,0.5630609064955623,71160,0.4625,1.0,0.4625
265,500,0.7507552870090635,10486,6,0.552681433250019,40768,0.522,0.367816091954023,0.192
266,5,,7,3,1.0612244897959184,28,0.0,,
267,10,,45,3,0.32395061728395064,100,0.0,,
268,15,,116,7,2.8555291319857323,1970,0.0,,
269,20,,74,3,0.26826150474799126,147,0.0,,
270,25,1.0,535,10,5.062290156345533,12306,0.52,1.0,0.52
271,30,1.0,638,6,0.9086020184550073,3595,0.6,1.0,0.6
272,35,1.0,715,8,2.679387745122011,8113,0.5142857142857142,1.0,0.5142857142857142
273,40,1.0,890,6,1.1358363842949122,8386,0.425,1.0,0.425
274,45,1.0,912,5,0.7825869498307171,6494,0.4222222222222222,1.0,0.4222222222222222
275,50,1.0,1074,5,0.9419042962315642,4736,0.44,1.0,0.44
276,60,1.0,1425,6,0.9999699599876885,8584,0.45,1.0,0.45
277,70,0.9857142857142858,1563,5,0.5700694523753678,5621,0.37142857142857144,0.9615384615384616,0.35714285714285715
278,80,0.773109243697479,1921,5,0.4930182066699709,6432,0.6,0.4375,0.2625
279,90,1.0,2117,5,0.7368833491123548,11743,0.5111111111111111,1.0,0.5111111111111111
280,100,0.98989898989899,2185,5,0.6473959647900969,8606,0.39,0.9743589743589743,0.38
281,200,0.7312775330396476,4409,5,0.5205571131977567,15193,0.53,0.42452830188679247,0.22500000000000003
282,300,0.7038043478260869,6469,5,0.5482585400038965,23859,0.52,0.30128205128205127,0.15666666666666668
283,400,0.7079796264855688,8501,6,0.576180378648894,33529,0.575,0.25217391304347825,0.145
284,500,0.7148362235067437,10213,7,0.5588523060591445,38944,0.474,0.3755274261603376,0.178
285,5,,6,2,0.47222222222222215,11,0.0,,
286,10,,6,1,0.13888888888888892,5,0.0,,
