,recombine_in_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
74,0.5555555555555556,0.7206537890044576,11565,6,0.544696045902322,45599,0.532,0.2932330827067669,0.156
75,0.4444444444444444,0.7070063694267515,11198,6,0.5272096052413614,42004,0.522,0.2950191570881226,0.154
76,0.33333333333333337,0.7583081570996979,11509,6,0.5694900977019115,48033,0.496,0.3548387096774194,0.17600000000000002
77,0.22222222222222232,0.802962962962963,10946,6,0.5524117881950525,42138,0.504,0.4722222222222222,0.238
78,0.11111111111111116,0.6810631229235881,10850,6,0.5222303382955679,40831,0.526,0.26996197718631176,0.142
79,0.0,0.7582089552238805,10517,6,0.5583399119383534,41669,0.53,0.3886792452830189,0.20600000000000002
80,1.0,0.7651195499296765,11996,7,0.57075741374723,46908,0.524,0.36259541984732824,0.19
81,0.8888888888888888,0.7392795883361921,12064,6,0.5401362659538167,48130,0.47,0.35319148936170214,0.166
82,0.7777777777777778,0.7721139430284858,11878,6,0.5518438765718292,48013,0.492,0.3821138211382114,0.188
83,0.6666666666666667,0.7420382165605095,11478,5,0.513341484566443,43321,0.53,0.3886792452830189,0.20600000000000002
84,0.5555555555555556,0.6634980988593155,11632,7,0.5566445310356669,45945,0.47,0.24680851063829787,0.11599999999999999
85,0.4444444444444444,0.7785467128027682,11354,6,0.5475938575654978,44344,0.478,0.46443514644351463,0.22199999999999998
86,0.33333333333333337,0.696,10981,5,0.5373917334393542,42193,0.468,0.3504273504273504,0.164
87,0.22222222222222232,0.762987012987013,10887,5,0.5456305655307284,41212,0.516,0.43410852713178294,0.224
88,0.11111111111111116,0.741042345276873,10805,6,0.5466296324927123,41551,0.54,0.4111111111111111,0.222
89,0.0,0.7396351575456053,10481,6,0.562083177103286,39667,0.534,0.41198501872659177,0.22000000000000003
90,1.0,0.7534246575342466,12120,5,0.5330809002929997,46945,0.508,0.36220472440944884,0.18400000000000002
91,0.8888888888888888,0.6390977443609023,12231,6,0.5697674573283417,49043,0.5,0.232,0.116
92,0.7777777777777778,0.7044609665427509,11920,6,0.5569127235259674,47442,0.512,0.37890625,0.194
93,0.6666666666666667,0.7523809523809524,11795,6,0.5402170792151709,46549,0.484,0.35537190082644626,0.172
94,0.5555555555555556,0.7525925925925926,11485,6,0.5485814530849706,45341,0.518,0.3552123552123552,0.18400000000000002
95,0.4444444444444444,0.7575757575757576,11028,6,0.5430056019241555,42503,0.546,0.3553113553113553,0.19400000000000003
96,0.33333333333333337,0.7650085763293311,10894,6,0.5322978991876894,40268,0.476,0.42436974789915966,0.20199999999999999
97,0.22222222222222232,0.7508650519031141,10868,6,0.5342404771874194,40372,0.478,0.39748953974895396,0.18999999999999997
98,0.11111111111111116,0.6494252873563219,10887,6,0.5697370861429624,43816,0.518,0.29343629343629346,0.15200000000000002
99,0.0,0.6983842010771992,10504,6,0.5603238714704266,40127,0.478,0.29707112970711297,0.142
100,1.0,0.7811094452773614,11852,6,0.5252194875850417,45835,0.496,0.4112903225806452,0.20400000000000001
101,0.8888888888888888,0.7842778793418648,12118,6,0.5482613804112123,48261,0.464,0.49137931034482757,0.228
102,0.7777777777777778,0.8080536912751678,11817,6,0.5569918120824392,47250,0.512,0.44140625,0.226
103,0.6666666666666667,0.7627365356622998,11756,6,0.5442256412310609,45594,0.5,0.348,0.174
104,0.5555555555555556,0.7246653919694073,11166,5,0.5236046236802447,42796,0.44,0.34545454545454546,0.152
105,0.4444444444444444,0.8039735099337748,11078,6,0.5389603471857599,42691,0.534,0.44569288389513106,0.238
106,0.33333333333333337,0.7325800376647834,10775,6,0.5119739880814596,39020,0.454,0.3744493392070485,0.17
107,0.22222222222222232,0.6847389558232931,11206,6,0.5543667263614068,42903,0.494,0.3643724696356275,0.18
108,0.11111111111111116,0.8201219512195121,10675,7,0.5576334121286246,40195,0.496,0.5241935483870968,0.26
109,0.0,0.7358803986710963,10570,6,0.5739935233775103,41861,0.488,0.3483606557377049,0.16999999999999998
110,1.0,0.7117834394904459,12058,7,0.5581203882126531,47687,0.53,0.3169811320754717,0.168
111,0.8888888888888888,0.7221374045801526,11826,6,0.5592321539028239,47058,0.51,0.28627450980392155,0.146
112,0.7777777777777778,0.7731239092495636,11644,6,0.534923701495447,45225,0.466,0.44206008583690987,0.20600000000000002
113,0.6666666666666667,0.7711340206185567,11377,6,0.5393983931642455,43745,0.424,0.47641509433962265,0.20199999999999999
114,0.5555555555555556,0.687382297551789,11184,6,0.5600190326565029,43964,0.478,0.3054393305439331,0.146
