,mutate_in_host,mutate_in_vector,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
1366,0.010789473684210526,0.011842105263157895,0.3541666666666667,1029,4,0.494640838426166,2874,0.16,0.225,0.036000000000000004
1367,0.010789473684210526,0.011315789473684211,0.42028985507246375,1035,4,0.3659137902868212,2360,0.216,0.25925925925925924,0.055999999999999994
1368,0.010789473684210526,0.010789473684210526,0.5471698113207547,1024,4,0.4390220642089844,2606,0.304,0.3684210526315789,0.11199999999999999
1369,0.010789473684210526,0.010263157894736842,0.4782608695652174,1005,3,0.32866117175317455,2385,0.204,0.29411764705882354,0.06
1370,0.010789473684210526,0.009736842105263158,0.4727272727272727,878,4,0.3436262784024575,1920,0.168,0.30952380952380953,0.052000000000000005
1371,0.010789473684210526,0.009210526315789475,1.0,952,5,0.6780230474542759,3735,0.228,1.0,0.228
1372,0.010789473684210526,0.00868421052631579,0.5813953488372093,918,4,0.3850335341108121,2141,0.272,0.47058823529411764,0.128
1373,0.010789473684210526,0.008157894736842107,0.3220338983050847,874,4,0.30458477553948543,1761,0.196,0.1836734693877551,0.036000000000000004
1374,0.010789473684210526,0.007631578947368422,0.7714285714285715,811,4,0.3402810614227004,1961,0.128,0.75,0.096
1375,0.010789473684210526,0.007105263157894738,0.7195121951219512,763,6,0.5038983525402416,2058,0.24,0.6166666666666667,0.148
1376,0.010789473684210526,0.006578947368421054,0.3698630136986301,754,4,0.42117372246339596,1836,0.236,0.22033898305084745,0.052
1377,0.010789473684210526,0.00605263157894737,0.4027777777777778,740,4,0.34601168736303867,1602,0.24,0.2833333333333333,0.06799999999999999
1378,0.010789473684210526,0.0055263157894736865,0.2972972972972973,754,4,0.20086681817222382,1274,0.116,0.10344827586206896,0.012
1379,0.010789473684210526,0.005,1.0,677,4,0.4359139395499739,2293,0.14,1.0,0.14
1380,0.010263157894736842,0.015,0.4594594594594595,1094,5,0.486796854372696,3364,0.112,0.2857142857142857,0.032
1381,0.010263157894736842,0.014473684210526316,0.42105263157894735,1101,4,0.3469738104489273,2486,0.184,0.2826086956521739,0.052
1382,0.010263157894736842,0.013947368421052632,0.4528301886792453,1121,5,0.6137775227769905,3682,0.18,0.35555555555555557,0.064
1383,0.010263157894736842,0.013421052631578948,0.4175824175824176,1004,4,0.35599038110506187,2440,0.268,0.208955223880597,0.056
1384,0.010263157894736842,0.012894736842105263,1.0,978,5,0.5306027074159106,4253,0.256,1.0,0.256
1385,0.010263157894736842,0.012368421052631579,0.4090909090909091,1013,4,0.3233307574093546,2116,0.14,0.2571428571428571,0.036
1386,0.010263157894736842,0.011842105263157895,0.647887323943662,884,4,0.3857261317335844,2342,0.212,0.5283018867924528,0.112
1387,0.010263157894736842,0.011315789473684211,0.2857142857142857,919,4,0.5730622181227881,2394,0.252,0.12698412698412698,0.032
1388,0.010263157894736842,0.010789473684210526,0.24285714285714285,888,4,0.27001537009982957,1711,0.24,0.11666666666666667,0.028
1389,0.010263157894736842,0.010263157894736842,0.3617021276595745,1014,4,0.4973331932822147,2960,0.16,0.25,0.04
1390,0.010263157894736842,0.009736842105263158,0.3584905660377358,934,4,0.3523481239310557,2097,0.18,0.24444444444444444,0.044
1391,0.010263157894736842,0.009210526315789475,0.28,775,4,0.33948636836628515,1648,0.252,0.14285714285714285,0.036
1392,0.010263157894736842,0.00868421052631579,0.7692307692307693,817,4,0.36782628627587877,1908,0.072,0.6666666666666666,0.047999999999999994
1393,0.010263157894736842,0.008157894736842107,0.6428571428571429,818,7,0.6849149036650903,2443,0.196,0.4897959183673469,0.096
1394,0.010263157894736842,0.007631578947368422,0.390625,781,5,0.7154457416129885,2375,0.208,0.25,0.052
1395,0.010263157894736842,0.007105263157894738,0.4716981132075472,729,5,0.4159257565750478,1664,0.172,0.3488372093023256,0.06
1396,0.010263157894736842,0.006578947368421054,0.46153846153846156,808,3,0.24928315851387117,1484,0.212,0.33962264150943394,0.072
1397,0.010263157894736842,0.00605263157894737,0.3770491803278688,700,4,0.37682448979591837,1510,0.212,0.2830188679245283,0.06
1398,0.010263157894736842,0.0055263157894736865,0.4634146341463415,678,4,0.3847251590222849,2052,0.132,0.3333333333333333,0.044
1399,0.010263157894736842,0.005,0.2,652,5,0.4681395611426851,1672,0.148,0.13513513513513514,0.02
1400,0.009736842105263158,0.015,1.0,1050,5,0.8658467120181406,5956,0.204,1.0,0.204
1401,0.009736842105263158,0.014473684210526316,0.631578947368421,1016,5,0.395389322028644,2637,0.072,0.6111111111111112,0.044
1402,0.009736842105263158,0.013947368421052632,0.5492957746478874,1062,5,0.6377867861158104,3634,0.212,0.39622641509433965,0.084
1403,0.009736842105263158,0.013421052631578948,0.38961038961038963,1002,4,0.326501687244274,2225,0.24,0.21666666666666667,0.052
1404,0.009736842105263158,0.012894736842105263,0.23636363636363636,1013,4,0.4809090900231833,2738,0.176,0.045454545454545456,0.008
1405,0.009736842105263158,0.012368421052631579,0.40350877192982454,974,5,0.4468511905012881,2337,0.196,0.30612244897959184,0.060000000000000005
1406,0.009736842105263158,0.011842105263157895,1.0,1014,5,0.6607777116425272,4447,0.196,1.0,0.196
1407,0.009736842105263158,0.011315789473684211,0.30303030303030304,870,5,0.362146915048223,1973,0.224,0.17857142857142858,0.04
1408,0.009736842105263158,0.010789473684210526,0.6133333333333333,789,4,0.3561936063201081,1823,0.22,0.4727272727272727,0.104
1409,0.009736842105263158,0.010263157894736842,0.2857142857142857,861,4,0.27950914651008135,1682,0.188,0.14893617021276595,0.027999999999999997
1410,0.009736842105263158,0.009736842105263158,0.2676056338028169,899,3,0.22421650059824225,1632,0.24,0.13333333333333333,0.032
1411,0.009736842105263158,0.009210526315789475,0.4745762711864407,857,5,0.4156939419891646,2286,0.192,0.3541666666666667,0.068
1412,0.009736842105263158,0.00868421052631579,1.0,742,4,0.4820148066346511,1918,0.172,1.0,0.172
1413,0.009736842105263158,0.008157894736842107,0.6956521739130435,881,4,0.36800869922606266,2323,0.22,0.6181818181818182,0.136
1414,0.009736842105263158,0.007631578947368422,0.2702702702702703,852,3,0.20167405056315987,1456,0.244,0.11475409836065574,0.028
1415,0.009736842105263158,0.007105263157894738,0.6557377049180327,715,4,0.31407697197906986,1612,0.2,0.58,0.11599999999999999
1416,0.009736842105263158,0.006578947368421054,0.2391304347826087,693,4,0.21976516348810723,1227,0.16,0.125,0.02
1417,0.009736842105263158,0.00605263157894737,0.3709677419354839,760,4,0.2665927977839335,1456,0.196,0.20408163265306123,0.04
1418,0.009736842105263158,0.0055263157894736865,0.6049382716049383,640,3,0.25497802734375,1237,0.232,0.4482758620689655,0.10400000000000001
1419,0.009736842105263158,0.005,0.14545454545454545,542,3,0.15806225405427485,811,0.196,0.04081632653061224,0.008
