,recombine_in_vector,recombine_in_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
1863,0.3157894736842106,0.8421052631578947,0.8842105263157894,1329,5,0.4934003909998692,5537,0.288,0.3888888888888889,0.11199999999999999
1864,0.3157894736842106,0.7894736842105263,0.8214285714285714,1262,4,0.44093972036437523,5430,0.072,0.4444444444444444,0.031999999999999994
1865,0.3157894736842106,0.736842105263158,0.8597785977859779,1395,4,0.5207918706080343,6073,0.204,0.2549019607843137,0.05199999999999999
1866,0.3157894736842106,0.6842105263157895,0.8313253012048193,1207,4,0.5095105944404671,5423,0.232,0.27586206896551724,0.064
1867,0.3157894736842106,0.631578947368421,0.8402061855670103,1233,4,0.5351140473949361,5308,0.16,0.225,0.036000000000000004
1868,0.3157894736842106,0.5789473684210527,0.8571428571428571,1329,4,0.4767797826004492,5728,0.164,0.36585365853658536,0.06
1869,0.3157894736842106,0.5263157894736843,0.7485029940119761,1411,5,0.4611534058860196,6211,0.196,0.14285714285714285,0.028
1870,0.3157894736842106,0.4736842105263158,0.864516129032258,1363,4,0.5303824102996658,6219,0.128,0.34375,0.044
1871,0.3157894736842106,0.42105263157894735,0.8181818181818182,1301,4,0.44278480279758786,5407,0.168,0.09523809523809523,0.016
1872,0.3157894736842106,0.368421052631579,0.797752808988764,1181,4,0.4211560260144928,4577,0.18,0.2,0.036
1873,0.3157894736842106,0.3157894736842106,0.8767772511848341,1420,4,0.4254889902797064,5822,0.184,0.43478260869565216,0.08
1874,0.3157894736842106,0.26315789473684215,0.7860696517412935,1315,4,0.4765522126964391,5334,0.212,0.18867924528301888,0.04
1875,0.3157894736842106,0.21052631578947367,0.7428571428571429,1315,5,0.46903670719541984,6038,0.164,0.12195121951219512,0.02
1876,0.3157894736842106,0.1578947368421053,0.792,1242,5,0.47760287417572295,5227,0.108,0.037037037037037035,0.004
1877,0.3157894736842106,0.10526315789473695,0.8484848484848485,1036,4,0.48883718936807746,4143,0.208,0.23076923076923078,0.048
1878,0.3157894736842106,0.052631578947368474,0.7634408602150538,998,4,0.5198493178742254,3816,0.208,0.15384615384615385,0.032
1879,0.3157894736842106,0.0,0.8704225352112676,1132,4,0.4792941290314526,4405,0.26,0.2923076923076923,0.07600000000000001
1880,0.26315789473684215,1.0,0.7878787878787878,1635,4,0.5385928980912569,7868,0.18,0.06666666666666667,0.012
1881,0.26315789473684215,0.9473684210526316,0.890728476821192,1219,4,0.552488255075335,5723,0.204,0.35294117647058826,0.072
1882,0.26315789473684215,0.8947368421052632,0.8736842105263158,1434,4,0.5392086778748425,6879,0.212,0.32075471698113206,0.06799999999999999
1883,0.26315789473684215,0.8421052631578947,0.8644859813084113,1561,5,0.541319256492639,7093,0.172,0.32558139534883723,0.056
1884,0.26315789473684215,0.7894736842105263,0.8676923076923077,1528,5,0.5409626757764315,6839,0.204,0.1568627450980392,0.032
1885,0.26315789473684215,0.736842105263158,0.8021978021978022,1318,4,0.5475095617814273,5694,0.172,0.16279069767441862,0.028
1886,0.26315789473684215,0.6842105263157895,0.7372262773722628,1156,4,0.44100510650016156,4587,0.164,0.12195121951219512,0.02
1887,0.26315789473684215,0.631578947368421,0.7894736842105263,1472,5,0.5035425773865784,6136,0.16,0.1,0.016
1888,0.26315789473684215,0.5789473684210527,0.8257261410788381,1179,6,0.5772261393728675,4963,0.2,0.16,0.032
1889,0.26315789473684215,0.5263157894736843,0.8220338983050848,1222,4,0.5456778482860594,5404,0.176,0.045454545454545456,0.008
1890,0.26315789473684215,0.4736842105263158,0.849802371541502,1177,5,0.5241339782824151,4899,0.188,0.19148936170212766,0.036
1891,0.26315789473684215,0.42105263157894735,0.8264150943396227,1331,5,0.5346437407461555,5865,0.24,0.23333333333333334,0.056
1892,0.26315789473684215,0.368421052631579,0.8817204301075269,1247,5,0.48531037440940866,5321,0.252,0.47619047619047616,0.12
1893,0.26315789473684215,0.3157894736842106,0.7804878048780488,1100,4,0.4812694214876034,4508,0.116,0.06896551724137931,0.008
1894,0.26315789473684215,0.26315789473684215,0.8137254901960784,1071,5,0.47867687379962864,4406,0.184,0.17391304347826086,0.032
1895,0.26315789473684215,0.21052631578947367,0.8723404255319149,1140,5,0.4532863958140966,4697,0.232,0.3793103448275862,0.088
1896,0.26315789473684215,0.1578947368421053,0.8455696202531645,1252,5,0.5147974104053322,5249,0.288,0.1527777777777778,0.044
1897,0.26315789473684215,0.10526315789473695,0.8409090909090909,1024,4,0.42981624603271484,3999,0.196,0.42857142857142855,0.084
1898,0.26315789473684215,0.052631578947368474,0.8592233009708737,982,4,0.5178798826950278,4024,0.172,0.32558139534883723,0.056
