,mean_inoculum_host,mean_inoculum_vector,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
1141,1.9473684210526319,9.526315789473685,0.6086956521739131,920,4,0.4232325141776937,2532,0.196,0.4489795918367347,0.08800000000000001
1142,1.9473684210526319,9.052631578947368,0.75,853,4,0.34218103404438377,1883,0.16,0.625,0.1
1143,1.9473684210526319,8.578947368421053,0.323943661971831,901,5,0.409491981409237,2070,0.208,0.07692307692307693,0.016
1144,1.9473684210526319,8.105263157894736,0.6705882352941176,877,4,0.6624480418759402,2929,0.228,0.5087719298245614,0.116
1145,1.9473684210526319,7.631578947368421,0.4107142857142857,905,3,0.33649278105063957,2224,0.168,0.21428571428571427,0.036
1146,1.9473684210526319,7.157894736842105,0.3194444444444444,839,4,0.3608842469538486,2106,0.212,0.07547169811320754,0.016
1147,1.9473684210526319,6.684210526315789,0.5344827586206896,874,5,0.47186192523393844,2352,0.168,0.35714285714285715,0.060000000000000005
1148,1.9473684210526319,6.210526315789474,0.4603174603174603,861,4,0.3573054048111412,2042,0.2,0.32,0.064
1149,1.9473684210526319,5.736842105263158,0.40963855421686746,869,3,0.3489242691293644,2275,0.24,0.18333333333333332,0.044
1150,1.9473684210526319,5.2631578947368425,0.30952380952380953,920,4,0.357750472589792,2110,0.136,0.14705882352941177,0.02
1151,1.9473684210526319,4.7894736842105265,0.40625,830,4,0.2590637247786326,1597,0.184,0.17391304347826086,0.032
1152,1.9473684210526319,4.315789473684211,0.42424242424242425,891,4,0.36291081408926523,1972,0.112,0.32142857142857145,0.036000000000000004
1153,1.9473684210526319,3.8421052631578947,1.0,777,4,0.4095181778579462,2394,0.192,1.0,0.192
1154,1.9473684210526319,3.3684210526315796,1.0,837,5,0.4701064420492486,2491,0.2,1.0,0.2
1155,1.9473684210526319,2.8947368421052637,0.4444444444444444,925,4,0.31778407596785974,2013,0.232,0.22413793103448276,0.052000000000000005
1156,1.9473684210526319,2.421052631578948,0.25925925925925924,953,5,0.3307652753936594,2005,0.172,0.06976744186046512,0.011999999999999999
1157,1.9473684210526319,1.9473684210526319,0.4897959183673469,887,4,0.3523499273611441,1901,0.136,0.2647058823529412,0.036000000000000004
1158,1.9473684210526319,1.4736842105263168,0.32967032967032966,1027,3,0.2090394783873393,1763,0.264,0.07575757575757576,0.02
1159,1.9473684210526319,1.0,0.9294117647058824,991,4,0.5183890127189101,3291,0.236,0.8983050847457628,0.212
1160,1.4736842105263168,10.0,0.453125,894,4,0.33519010655175696,1970,0.184,0.2391304347826087,0.044
1161,1.4736842105263168,9.526315789473685,0.36507936507936506,943,4,0.376909054719207,2425,0.188,0.14893617021276595,0.027999999999999997
1162,1.4736842105263168,9.052631578947368,1.0,846,4,0.45964600483990864,2806,0.188,1.0,0.188
1163,1.4736842105263168,8.578947368421053,0.42857142857142855,885,5,0.40240543905008147,2443,0.212,0.24528301886792453,0.052
1164,1.4736842105263168,8.105263157894736,0.7391304347826086,688,4,0.4607811654948621,2516,0.184,0.6086956521739131,0.112
1165,1.4736842105263168,7.631578947368421,0.484375,853,4,0.40881022637158143,2410,0.176,0.25,0.044
1166,1.4736842105263168,7.157894736842105,0.3384615384615385,855,4,0.3321418556136931,1971,0.188,0.0851063829787234,0.016
1167,1.4736842105263168,6.684210526315789,0.5423728813559322,966,4,0.3180743627003417,2293,0.172,0.37209302325581395,0.06399999999999999
1168,1.4736842105263168,6.210526315789474,0.8589743589743589,876,4,0.5540790955151061,2823,0.228,0.8070175438596491,0.184
1169,1.4736842105263168,5.736842105263158,0.5254237288135594,903,4,0.3347448948932376,2066,0.188,0.40425531914893614,0.076
1170,1.4736842105263168,5.2631578947368425,0.4426229508196721,853,4,0.42645706691368573,2123,0.192,0.2916666666666667,0.05600000000000001
1171,1.4736842105263168,4.7894736842105265,0.5394736842105263,900,4,0.4592333333333333,2557,0.236,0.4067796610169492,0.096
1172,1.4736842105263168,4.315789473684211,0.625,894,3,0.22299921424960834,1605,0.152,0.4473684210526316,0.068
1173,1.4736842105263168,3.8421052631578947,1.0,855,4,0.3547429978454909,3534,0.208,1.0,0.208
1174,1.4736842105263168,3.3684210526315796,0.4246575342465753,873,4,0.3040928766652365,1783,0.212,0.20754716981132076,0.044
1175,1.4736842105263168,2.8947368421052637,0.37333333333333335,902,4,0.33824809120899113,2150,0.232,0.1896551724137931,0.044
1176,1.4736842105263168,2.421052631578948,0.5569620253164557,987,4,0.40398123939480735,2633,0.216,0.35185185185185186,0.076
1177,1.4736842105263168,1.9473684210526319,0.2708333333333333,832,3,0.31943417159763315,1752,0.168,0.16666666666666666,0.028
1178,1.4736842105263168,1.4736842105263168,0.4024390243902439,751,4,0.34718378158903973,1611,0.248,0.20967741935483872,0.052000000000000005
